ref,x1,y1,x2,y2,choice,choice_norm,connectivity,control,controllability,entropy,harmonic_mean_depth,integration_hh,integration_p_value,integration_tekl,intensity,line_length,mean_depth,node_count,ra,ra_penn,rra,relativised_entropy,total_depth,crossfire,crossfire_per_m,length_m
0,468.0,406.77,472.27,377.07,5158,0.43217427,4,1.1166667,0.36363637,3.8622248,5.501296,0.59542459,0.11931712,0.60997772,0.48707119,30.005381,8.9870968,156,0.10372853,0.50120872,1.6794738,3.426542,1393,24.0,41.987219548554954,0.57160250805
1,300.0,936.0,490.8,926.4,4138,0.34671137,2,0.53333336,0.25,4.2464128,6.4435596,0.46477658,0.093136571,0.58947247,0.41794348,191.04135,11.232258,156,0.13288647,0.45121107,2.1515715,4.3482022,1741,18.0,4.945954840477098,3.6393377175
2,248.0,882.0,300.0,936.0,4078,0.34168413,5,1.1837662,0.3125,4.3364191,6.3548222,0.45558447,0.091294557,0.58787888,0.41835582,74.96666,11.438709,156,0.13556767,0.4649471,2.1949828,4.5889764,1773,3.0,2.100671351246406,1.4281148730000002
3,178.4,509.2,180.0,662.77,3350,0.28068706,4,1.4166666,0.5,4.419878,4.2310319,0.46389908,0.09296073,0.58932137,0.43419456,153.57834,11.251613,156,0.13313784,0.55239439,2.1556413,4.3608732,1744,5.0,1.7090117760163959,2.925667377
4,461.33,245.33,461.6,333.2,4455,0.37327188,5,1.45,0.5,4.0452175,6.1299019,0.54521865,0.10925636,0.6025247,0.46710134,87.870415,9.7225809,156,0.11328027,0.48377243,1.8341265,3.6757402,1507,54.0,32.25938638495492,1.6739314057499999
5,468.0,406.77,490.13,423.73,6767,0.56698787,4,1.1666666,0.40000001,3.7978828,5.9996462,0.61376822,0.12299301,0.61258787,0.49372476,27.881508,8.7483873,156,0.10062841,0.48762798,1.6292795,3.3460577,1356,22.0,41.42012846093616,0.5311427274
6,704.0,528.0,710.67,674.67,1982,0.16606618,2,1.0,0.5,4.4028211,5.4407306,0.37361157,0.074868016,0.57250923,0.3482962,146.82158,13.729033,156,0.16531211,0.40012163,2.6765766,4.4464374,2128,26.0,9.295836458955552,2.796951099
7,102.0,62.0,104.0,104.0,308,0.025806451,2,1.25,0.40000001,4.4973106,4.8491211,0.35975385,0.072091065,0.56967139,0.34256861,42.047592,14.219355,156,0.17167993,0.4228169,2.7796783,4.7494011,2204,2.0,2.496858241975425,0.8010066276000001
8,104.0,104.0,166.13,179.73,612,0.051277753,4,1.1166667,0.40000001,4.4643283,5.2350178,0.38857967,0.077867471,0.57548869,0.36731815,97.954941,13.238709,156,0.15894428,0.44532165,2.5734749,4.7850742,2052,18.0,9.646087069398362,1.8660416260500001
9,177.71,880.0,248.0,882.0,3338,0.27968162,7,1.4409091,0.36842105,4.3780046,5.822453,0.44701979,0.089578286,0.58637279,0.41442275,70.318451,11.63871,156,0.13816506,0.47766867,2.2370374,4.7672429,1804,1.0,0.7465101630326011,1.33956649155
10,238.67,881.33,248.0,882.0,0,0.0,4,0.63376623,0.26666668,4.3871989,5.8773141,0.43233761,0.086636126,0.58374119,0.40164495,9.3540258,12.0,156,0.14285715,0.4599303,2.3130071,4.6779294,1860,0.0,0.0,0.17819419149000001
11,629.2,217.6,686.8,206.4,4403,0.36891496,3,1.3333334,0.42857143,3.8987582,7.7193666,0.47011203,0.094205737,0.59038699,0.38813418,58.678787,11.116129,156,0.13137829,0.33105803,2.1271527,3.932893,1723,46.0,41.15112609143844,1.11783089235
12,84.0,236.0,154.91,233.45,0,0.0,2,0.58333331,0.40000001,4.5364976,4.9953661,0.39780661,0.079716459,0.57728356,0.38212398,70.955833,12.954839,156,0.15525764,0.47802818,2.5137842,4.6121678,2008,24.0,17.755305891272382,1.35170861865
13,484.0,622.77,490.13,423.73,6412,0.53724343,4,1.25,0.44444445,3.7971361,6.4334331,0.60470521,0.12117686,0.61130542,0.48633271,199.13437,8.8645163,156,0.10213657,0.47994882,1.6536983,3.3546443,1374,67.0,17.66174451680073,3.7935097485
14,461.6,333.2,472.27,377.07,4668,0.39111856,5,1.3666667,0.5,3.9773319,5.515368,0.56485492,0.11319126,0.60549635,0.4758158,45.14893,9.4193544,156,0.10934227,0.50171822,1.7703662,3.5439975,1460,35.0,40.6935522327406,0.8600871165
15,448.0,220.0,461.33,245.33,5478,0.45898616,3,0.78333336,0.30000001,4.0826969,6.5532055,0.52427858,0.10506017,0.59926921,0.4533101,28.623379,10.070968,156,0.11780477,0.46315387,1.907383,3.835041,1561,8.0,14.671486080021502,0.54527536995
16,321.09,205.45,448.0,220.0,5322,0.44591537,4,1.0,0.40000001,4.1797028,6.5752716,0.49672213,0.09953814,0.59483844,0.43967205,127.74134,10.574194,156,0.12434018,0.46134302,2.0131979,4.0428948,1639,38.0,15.615545102063113,2.433472527
17,96.0,40.0,102.0,62.0,0,0.0,1,0.5,0.5,4.5101314,3.9866695,0.33460537,0.067051567,0.56430829,0.31951883,22.803509,15.212903,156,0.18458316,0.40119597,2.988595,4.7228484,2358,0.0,0.0,0.43440684645
18,153.09,246.55,196.0,288.0,308,0.025806451,3,1.5,0.42857143,4.5806975,4.7867665,0.39146873,0.078446411,0.57605404,0.37969649,59.660461,13.148387,156,0.15777126,0.48817614,2.5544825,4.6967559,2038,24.0,21.116875373876834,1.13653178205
