col,row,px_left,px_top,px_right,px_bottom,world_x_min,world_x_max,world_y_min,world_y_max,walkable,connectivity,isovist_area_px,isovist_perimeter,integration_hh_t,integration_hh_m,choice_t,occ_all,occ_ct,occ_t,occ_early,kills,kills_ct,kills_t,flow,visits_rounds
5,1,80,16,96,32,-2124.0,-2053.6,3098.2,3168.6,1,225,57600.0,131.0,5.5779,0.0117,52.2697,376.0,181.0,195.0,0.0,0.0,0.0,0.0,41,10
6,1,96,16,112,32,-2053.6,-1983.2,3098.2,3168.6,1,208,53248.0,119.0,5.5135,0.0118,31.8091,18.0,0.0,18.0,0.0,1.0,0.0,1.0,7,3
5,2,80,32,96,48,-2124.0,-2053.6,3027.8,3098.2,1,270,69120.0,163.0,6.3098,0.0119,109.7533,701.0,367.0,334.0,0.0,3.0,1.0,2.0,130,22
6,2,96,32,112,48,-2053.6,-1983.2,3027.8,3098.2,1,234,59904.0,129.0,5.587,0.012,44.4885,33.0,6.0,27.0,0.0,1.0,0.0,1.0,30,11
7,2,112,32,128,48,-1983.2,-1912.8,3027.8,3098.2,1,204,52224.0,117.0,5.5064,0.0121,29.7483,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1
8,2,128,32,144,48,-1912.8,-1842.4,3027.8,3098.2,1,154,39424.0,110.0,5.4195,0.0122,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
50,2,800,32,816,48,1044.0,1114.4,3027.8,3098.2,1,294,75264.0,157.0,6.2729,0.0127,28.4904,1046.0,764.0,282.0,27.0,0.0,0.0,0.0,106,23
51,2,816,32,832,48,1114.4,1184.8,3027.8,3098.2,1,324,82944.0,165.0,6.3659,0.0127,51.3127,346.0,290.0,56.0,0.0,1.0,1.0,0.0,109,22
52,2,832,32,848,48,1184.8,1255.2,3027.8,3098.2,1,368,94208.0,196.0,7.3028,0.0126,410.8119,55.0,33.0,22.0,0.0,1.0,1.0,0.0,37,14
53,2,848,32,864,48,1255.2,1325.6,3027.8,3098.2,1,380,97280.0,193.0,6.7355,0.0124,143.776,90.0,85.0,5.0,0.0,0.0,0.0,0.0,16,6
54,2,864,32,880,48,1325.6,1396.0,3027.8,3098.2,1,401,102656.0,206.0,7.375,0.0123,212.3039,28.0,25.0,3.0,0.0,2.0,2.0,0.0,11,3
55,2,880,32,896,48,1396.0,1466.4,3027.8,3098.2,1,429,109824.0,225.0,7.4941,0.0121,294.7095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
56,2,896,32,912,48,1466.4,1536.8,3027.8,3098.2,1,450,115200.0,224.0,7.5634,0.012,350.5393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
57,2,912,32,928,48,1536.8,1607.2,3027.8,3098.2,1,454,116224.0,225.0,7.5767,0.0118,374.4257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,3,80,48,96,64,-2124.0,-2053.6,2957.4,3027.8,1,358,91648.0,199.0,6.8566,0.0121,231.2826,1016.0,752.0,264.0,9.0,3.0,3.0,0.0,242,34
6,3,96,48,112,64,-2053.6,-1983.2,2957.4,3027.8,1,304,77824.0,168.0,6.3944,0.0122,126.2856,146.0,84.0,62.0,2.0,0.0,0.0,0.0,123,28
7,3,112,48,128,64,-1983.2,-1912.8,2957.4,3027.8,1,244,62464.0,135.0,5.6291,0.0124,50.1494,118.0,28.0,90.0,0.0,0.0,0.0,0.0,37,7
8,3,128,48,144,64,-1912.8,-1842.4,2957.4,3027.8,1,186,47616.0,114.0,5.4748,0.0125,24.554,26.0,0.0,26.0,0.0,0.0,0.0,0.0,6,1
50,3,800,48,816,64,1044.0,1114.4,2957.4,3027.8,1,300,76800.0,158.0,6.2867,0.013,33.338,391.0,165.0,226.0,8.0,0.0,0.0,0.0,120,30
51,3,816,48,832,64,1114.4,1184.8,2957.4,3027.8,1,352,90112.0,197.0,7.2382,0.0129,374.7322,203.0,190.0,13.0,10.0,1.0,1.0,0.0,77,20
52,3,832,48,848,64,1184.8,1255.2,2957.4,3027.8,1,390,99840.0,193.0,6.7621,0.0128,154.7113,45.0,28.0,17.0,0.0,1.0,0.0,1.0,48,18
53,3,848,48,864,64,1255.2,1325.6,2957.4,3027.8,1,420,107520.0,227.0,7.4647,0.0127,255.5925,45.0,18.0,27.0,0.0,0.0,0.0,0.0,40,14
54,3,864,48,880,64,1325.6,1396.0,2957.4,3027.8,1,457,116992.0,228.0,7.5868,0.0125,346.4677,117.0,104.0,13.0,0.0,1.0,1.0,0.0,32,10
55,3,880,48,896,64,1396.0,1466.4,2957.4,3027.8,1,464,118784.0,227.0,7.6103,0.0123,366.7999,13.0,4.0,9.0,0.0,0.0,0.0,0.0,16,5
56,3,896,48,912,64,1466.4,1536.8,2957.4,3027.8,1,464,118784.0,226.0,7.6103,0.0122,367.6006,7.0,2.0,5.0,0.0,0.0,0.0,0.0,6,3
57,3,912,48,928,64,1536.8,1607.2,2957.4,3027.8,1,466,119296.0,227.0,7.6171,0.012,394.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,4,80,64,96,80,-2124.0,-2053.6,2887.0,2957.4,1,380,97280.0,200.0,6.9313,0.0122,258.6845,2445.0,2295.0,150.0,38.0,13.0,9.0,4.0,526,55
6,4,96,64,112,80,-2053.6,-1983.2,2887.0,2957.4,1,379,97024.0,198.0,6.9257,0.0124,228.2657,854.0,834.0,20.0,66.0,3.0,3.0,0.0,591,56
7,4,112,64,128,80,-1983.2,-1912.8,2887.0,2957.4,1,377,96512.0,198.0,6.9229,0.0126,223.2645,98.0,69.0,29.0,10.0,1.0,0.0,1.0,141,50
8,4,128,64,144,80,-1912.8,-1842.4,2887.0,2957.4,1,306,78336.0,168.0,6.4015,0.0127,126.6775,13.0,0.0,13.0,0.0,0.0,0.0,0.0,5,2
50,4,800,64,816,80,1044.0,1114.4,2887.0,2957.4,1,317,81152.0,164.0,6.3494,0.0133,50.4379,159.0,100.0,59.0,5.0,0.0,0.0,0.0,122,34
51,4,816,64,832,80,1114.4,1184.8,2887.0,2957.4,1,392,100352.0,204.0,6.7834,0.0132,164.9253,113.0,64.0,49.0,2.0,2.0,0.0,2.0,91,32
52,4,832,64,848,80,1184.8,1255.2,2887.0,2957.4,1,461,118016.0,229.0,7.6002,0.0131,349.8622,66.0,29.0,37.0,0.0,0.0,0.0,0.0,74,23
53,4,848,64,864,80,1255.2,1325.6,2887.0,2957.4,1,472,120832.0,231.0,7.6374,0.0129,367.188,153.0,122.0,31.0,0.0,1.0,0.0,1.0,66,18
54,4,864,64,880,80,1325.6,1396.0,2887.0,2957.4,1,476,121856.0,228.0,7.651,0.0127,363.0483,71.0,34.0,37.0,0.0,0.0,0.0,0.0,65,19
55,4,880,64,896,80,1396.0,1466.4,2887.0,2957.4,1,480,122880.0,228.0,7.6647,0.0125,380.559,18.0,3.0,15.0,0.0,0.0,0.0,0.0,22,6
56,4,896,64,912,80,1466.4,1536.8,2887.0,2957.4,1,479,122624.0,227.0,7.6613,0.0124,396.0998,3.0,2.0,1.0,0.0,0.0,0.0,0.0,4,2
57,4,912,64,928,80,1536.8,1607.2,2887.0,2957.4,1,478,122368.0,229.0,7.6578,0.0122,425.8713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,5,80,80,96,96,-2124.0,-2053.6,2816.6,2887.0,1,387,99072.0,200.0,6.951,0.0124,256.1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,5,96,80,112,96,-2053.6,-1983.2,2816.6,2887.0,1,386,98816.0,198.0,6.9482,0.0126,225.5535,30.0,17.0,13.0,0.0,0.0,0.0,0.0,44,15
7,5,112,80,128,96,-1983.2,-1912.8,2816.6,2887.0,1,385,98560.0,197.0,6.9453,0.0128,223.6688,236.0,209.0,27.0,10.0,0.0,0.0,0.0,272,69
8,5,128,80,144,96,-1912.8,-1842.4,2816.6,2887.0,1,386,98816.0,198.0,6.9482,0.013,232.2096,199.0,194.0,5.0,30.0,0.0,0.0,0.0,211,59
9,5,144,80,160,96,-1842.4,-1772.0,2816.6,2887.0,1,382,97792.0,198.0,6.9369,0.0131,211.4573,233.0,229.0,4.0,53.0,0.0,0.0,0.0,213,61
10,5,160,80,176,96,-1772.0,-1701.6,2816.6,2887.0,1,370,94720.0,195.0,6.8979,0.0133,178.3528,265.0,262.0,3.0,53.0,0.0,0.0,0.0,212,68
11,5,176,80,192,96,-1701.6,-1631.2,2816.6,2887.0,1,359,91904.0,189.0,6.8703,0.0135,159.1705,2181.0,2140.0,41.0,297.0,3.0,2.0,1.0,1056,114
12,5,192,80,208,96,-1631.2,-1560.8,2816.6,2887.0,1,346,88576.0,177.0,6.611,0.0136,151.6575,1753.0,1712.0,41.0,212.0,3.0,2.0,1.0,1585,112
13,5,208,80,224,96,-1560.8,-1490.4,2816.6,2887.0,1,335,85760.0,180.0,6.5806,0.0138,180.3205,682.0,665.0,17.0,152.0,0.0,0.0,0.0,793,103
50,5,800,80,816,96,1044.0,1114.4,2816.6,2887.0,1,447,114432.0,239.0,7.8793,0.0136,553.4173,361.0,273.0,88.0,5.0,1.0,0.0,1.0,130,45
51,5,816,80,832,96,1114.4,1184.8,2816.6,2887.0,1,478,122368.0,232.0,7.6578,0.0135,372.6245,165.0,98.0,67.0,0.0,2.0,2.0,0.0,154,47
52,5,832,80,848,96,1184.8,1255.2,2816.6,2887.0,1,488,124928.0,231.0,7.6922,0.0133,377.8446,108.0,46.0,62.0,0.0,5.0,3.0,2.0,112,41
53,5,848,80,864,96,1255.2,1325.6,2816.6,2887.0,1,488,124928.0,233.0,7.6922,0.0131,373.5567,63.0,47.0,16.0,0.0,2.0,0.0,2.0,33,13
54,5,864,80,880,96,1325.6,1396.0,2816.6,2887.0,1,490,125440.0,231.0,7.6991,0.0129,387.4369,30.0,3.0,27.0,0.0,0.0,0.0,0.0,32,10
55,5,880,80,896,96,1396.0,1466.4,2816.6,2887.0,1,491,125696.0,232.0,7.7025,0.0127,401.7464,29.0,4.0,25.0,0.0,0.0,0.0,0.0,44,15
56,5,896,80,912,96,1466.4,1536.8,2816.6,2887.0,1,490,125440.0,230.0,7.6991,0.0126,416.6295,7.0,2.0,5.0,0.0,0.0,0.0,0.0,10,4
57,5,912,80,928,96,1536.8,1607.2,2816.6,2887.0,1,485,124160.0,230.0,7.6818,0.0124,418.0259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
5,6,80,96,96,112,-2124.0,-2053.6,2746.2,2816.6,1,392,100352.0,203.0,6.9707,0.0126,281.6727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,6,96,96,112,112,-2053.6,-1983.2,2746.2,2816.6,1,392,100352.0,201.0,6.9679,0.0128,235.5154,25.0,11.0,14.0,0.0,0.0,0.0,0.0,27,10
7,6,112,96,128,112,-1983.2,-1912.8,2746.2,2816.6,1,393,100608.0,200.0,6.9679,0.013,237.3486,77.0,60.0,17.0,0.0,0.0,0.0,0.0,74,31
8,6,128,96,144,112,-1912.8,-1842.4,2746.2,2816.6,1,392,100352.0,200.0,6.9651,0.0132,233.1135,116.0,111.0,5.0,6.0,0.0,0.0,0.0,142,47
9,6,144,96,160,112,-1842.4,-1772.0,2746.2,2816.6,1,390,99840.0,199.0,6.9594,0.0133,223.8021,147.0,135.0,12.0,12.0,1.0,1.0,0.0,167,56
10,6,160,96,176,112,-1772.0,-1701.6,2746.2,2816.6,1,385,98560.0,200.0,6.9453,0.0135,205.8437,306.0,296.0,10.0,17.0,0.0,0.0,0.0,181,62
11,6,176,96,192,112,-1701.6,-1631.2,2746.2,2816.6,1,379,97024.0,197.0,6.9397,0.0137,185.0649,364.0,324.0,40.0,34.0,1.0,0.0,1.0,382,105
12,6,192,96,208,112,-1631.2,-1560.8,2746.2,2816.6,1,371,94976.0,194.0,6.9174,0.0139,158.1586,1135.0,1108.0,27.0,83.0,0.0,0.0,0.0,451,85
13,6,208,96,224,112,-1560.8,-1490.4,2746.2,2816.6,1,367,93952.0,193.0,6.9313,0.014,260.9339,673.0,594.0,79.0,82.0,0.0,0.0,0.0,693,108
14,6,224,96,240,112,-1490.4,-1420.0,2746.2,2816.6,1,356,91136.0,191.0,6.8648,0.0142,200.0861,646.0,474.0,172.0,149.0,3.0,2.0,1.0,612,113
15,6,240,96,256,112,-1420.0,-1349.6,2746.2,2816.6,1,333,85248.0,169.0,6.5655,0.0143,148.0013,836.0,150.0,686.0,18.0,3.0,1.0,2.0,176,41
39,6,624,96,640,112,269.6,340.0,2746.2,2816.6,1,343,87808.0,215.0,7.7652,0.0151,397.9291,23.0,23.0,0.0,0.0,0.0,0.0,0.0,2,1
40,6,640,96,656,112,340.0,410.4,2746.2,2816.6,1,374,95744.0,247.0,8.2187,0.0151,623.5846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
41,6,656,96,672,112,410.4,480.8,2746.2,2816.6,1,397,101632.0,268.0,8.3792,0.0151,863.0822,34.0,18.0,16.0,0.0,0.0,0.0,0.0,14,4
42,6,672,96,688,112,480.8,551.2,2746.2,2816.6,1,388,99328.0,270.0,8.3385,0.015,757.5131,113.0,62.0,51.0,0.0,1.0,1.0,0.0,80,24
43,6,688,96,704,112,551.2,621.6,2746.2,2816.6,1,371,94976.0,196.0,7.9522,0.0149,343.3698,407.0,247.0,160.0,0.0,1.0,1.0,0.0,81,23
44,6,704,96,720,112,621.6,692.0,2746.2,2816.6,1,371,94976.0,187.0,7.455,0.0148,265.4136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
45,6,720,96,736,112,692.0,762.4,2746.2,2816.6,1,374,95744.0,194.0,7.4908,0.0147,265.0308,89.0,81.0,8.0,0.0,0.0,0.0,0.0,9,4
46,6,736,96,752,112,762.4,832.8,2746.2,2816.6,1,381,97536.0,212.0,7.634,0.0146,293.8735,247.0,135.0,112.0,0.0,5.0,3.0,2.0,45,15
47,6,752,96,768,112,832.8,903.2,2746.2,2816.6,1,404,103424.0,234.0,7.7407,0.0144,404.5355,90.0,57.0,33.0,0.0,0.0,0.0,0.0,32,13
48,6,768,96,784,112,903.2,973.6,2746.2,2816.6,1,434,111104.0,243.0,7.8468,0.0142,556.548,28.0,15.0,13.0,0.0,0.0,0.0,0.0,37,13
49,6,784,96,800,112,973.6,1044.0,2746.2,2816.6,1,463,118528.0,243.0,7.9412,0.0141,461.0658,178.0,150.0,28.0,0.0,1.0,1.0,0.0,63,21
50,6,800,96,816,112,1044.0,1114.4,2746.2,2816.6,1,480,122880.0,236.0,7.6647,0.0139,370.2125,215.0,127.0,88.0,3.0,5.0,1.0,4.0,187,57
51,6,816,96,832,112,1114.4,1184.8,2746.2,2816.6,1,488,124928.0,234.0,7.6922,0.0137,372.012,354.0,206.0,148.0,1.0,5.0,4.0,1.0,267,68
52,6,832,96,848,112,1184.8,1255.2,2746.2,2816.6,1,499,127744.0,236.0,7.7303,0.0135,397.3075,417.0,318.0,99.0,4.0,4.0,3.0,1.0,337,72
53,6,848,96,864,112,1255.2,1325.6,2746.2,2816.6,1,496,126976.0,232.0,7.7198,0.0133,387.5506,574.0,440.0,134.0,0.0,6.0,4.0,2.0,264,67
54,6,864,96,880,112,1325.6,1396.0,2746.2,2816.6,1,502,128512.0,235.0,7.7407,0.0131,412.7821,57.0,21.0,36.0,0.0,1.0,0.0,1.0,56,21
55,6,880,96,896,112,1396.0,1466.4,2746.2,2816.6,1,499,127744.0,235.0,7.7303,0.0129,405.8023,44.0,8.0,36.0,0.0,2.0,1.0,1.0,46,15
56,6,896,96,912,112,1466.4,1536.8,2746.2,2816.6,1,493,126208.0,234.0,7.7129,0.0127,408.2258,12.0,0.0,12.0,0.0,0.0,0.0,0.0,12,5
57,6,912,96,928,112,1536.8,1607.2,2746.2,2816.6,1,492,125952.0,234.0,7.7094,0.0126,442.4172,10.0,2.0,8.0,0.0,0.0,0.0,0.0,9,4
5,7,80,112,96,128,-2124.0,-2053.6,2675.8,2746.2,1,409,104704.0,240.0,8.2187,0.0128,501.1681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
6,7,96,112,112,128,-2053.6,-1983.2,2675.8,2746.2,1,407,104192.0,231.0,8.1991,0.013,442.9405,33.0,20.0,13.0,0.0,0.0,0.0,0.0,26,12
7,7,112,112,128,128,-1983.2,-1912.8,2675.8,2746.2,1,404,103424.0,222.0,8.1215,0.0132,362.6117,74.0,53.0,21.0,4.0,0.0,0.0,0.0,72,25
8,7,128,112,144,128,-1912.8,-1842.4,2675.8,2746.2,1,400,102400.0,210.0,7.7828,0.0134,294.7353,85.0,83.0,2.0,4.0,0.0,0.0,0.0,104,23
9,7,144,112,160,128,-1842.4,-1772.0,2675.8,2746.2,1,394,100864.0,204.0,6.9764,0.0136,230.5443,501.0,497.0,4.0,66.0,1.0,1.0,0.0,193,51
10,7,160,112,176,128,-1772.0,-1701.6,2675.8,2746.2,1,392,100352.0,203.0,6.9707,0.0137,207.1738,209.0,197.0,12.0,13.0,2.0,2.0,0.0,180,65
11,7,176,112,192,128,-1701.6,-1631.2,2675.8,2746.2,1,386,98816.0,199.0,6.9482,0.0139,182.9403,261.0,216.0,45.0,30.0,2.0,1.0,1.0,288,88
12,7,192,112,208,128,-1631.2,-1560.8,2675.8,2746.2,1,381,97536.0,195.0,6.9341,0.0141,157.5592,193.0,169.0,24.0,19.0,0.0,0.0,0.0,249,68
