col,row,px_left,px_top,px_right,px_bottom,world_x_min,world_x_max,world_y_min,world_y_max,walkable,connectivity,isovist_area_px,isovist_perimeter,integration_hh_t,integration_hh_m,choice_t
5,1,80,16,96,32,-2124.0,-2053.6,3098.2,3168.6,1,225,57600.0,131.0,5.5779,0.0117,52.2697
6,1,96,16,112,32,-2053.6,-1983.2,3098.2,3168.6,1,208,53248.0,119.0,5.5135,0.0118,31.8091
5,2,80,32,96,48,-2124.0,-2053.6,3027.8,3098.2,1,270,69120.0,163.0,6.3098,0.0119,109.7533
6,2,96,32,112,48,-2053.6,-1983.2,3027.8,3098.2,1,234,59904.0,129.0,5.5870,0.0120,44.4885
7,2,112,32,128,48,-1983.2,-1912.8,3027.8,3098.2,1,204,52224.0,117.0,5.5064,0.0121,29.7483
8,2,128,32,144,48,-1912.8,-1842.4,3027.8,3098.2,1,154,39424.0,110.0,5.4195,0.0122,15.0800
50,2,800,32,816,48,1044.0,1114.4,3027.8,3098.2,1,294,75264.0,157.0,6.2729,0.0127,28.4904
51,2,816,32,832,48,1114.4,1184.8,3027.8,3098.2,1,324,82944.0,165.0,6.3659,0.0127,51.3127
52,2,832,32,848,48,1184.8,1255.2,3027.8,3098.2,1,368,94208.0,196.0,7.3028,0.0126,410.8119
53,2,848,32,864,48,1255.2,1325.6,3027.8,3098.2,1,380,97280.0,193.0,6.7355,0.0124,143.7760
54,2,864,32,880,48,1325.6,1396.0,3027.8,3098.2,1,401,102656.0,206.0,7.3750,0.0123,212.3039
55,2,880,32,896,48,1396.0,1466.4,3027.8,3098.2,1,429,109824.0,225.0,7.4941,0.0121,294.7095
56,2,896,32,912,48,1466.4,1536.8,3027.8,3098.2,1,450,115200.0,224.0,7.5634,0.0120,350.5393
57,2,912,32,928,48,1536.8,1607.2,3027.8,3098.2,1,454,116224.0,225.0,7.5767,0.0118,374.4257
5,3,80,48,96,64,-2124.0,-2053.6,2957.4,3027.8,1,358,91648.0,199.0,6.8566,0.0121,231.2826
6,3,96,48,112,64,-2053.6,-1983.2,2957.4,3027.8,1,304,77824.0,168.0,6.3944,0.0122,126.2856
7,3,112,48,128,64,-1983.2,-1912.8,2957.4,3027.8,1,244,62464.0,135.0,5.6291,0.0124,50.1494
8,3,128,48,144,64,-1912.8,-1842.4,2957.4,3027.8,1,186,47616.0,114.0,5.4748,0.0125,24.5540
50,3,800,48,816,64,1044.0,1114.4,2957.4,3027.8,1,300,76800.0,158.0,6.2867,0.0130,33.3380
51,3,816,48,832,64,1114.4,1184.8,2957.4,3027.8,1,352,90112.0,197.0,7.2382,0.0129,374.7322
52,3,832,48,848,64,1184.8,1255.2,2957.4,3027.8,1,390,99840.0,193.0,6.7621,0.0128,154.7113
53,3,848,48,864,64,1255.2,1325.6,2957.4,3027.8,1,420,107520.0,227.0,7.4647,0.0127,255.5925
54,3,864,48,880,64,1325.6,1396.0,2957.4,3027.8,1,457,116992.0,228.0,7.5868,0.0125,346.4677
55,3,880,48,896,64,1396.0,1466.4,2957.4,3027.8,1,464,118784.0,227.0,7.6103,0.0123,366.7999
56,3,896,48,912,64,1466.4,1536.8,2957.4,3027.8,1,464,118784.0,226.0,7.6103,0.0122,367.6006
57,3,912,48,928,64,1536.8,1607.2,2957.4,3027.8,1,466,119296.0,227.0,7.6171,0.0120,394.7400
5,4,80,64,96,80,-2124.0,-2053.6,2887.0,2957.4,1,380,97280.0,200.0,6.9313,0.0122,258.6845
6,4,96,64,112,80,-2053.6,-1983.2,2887.0,2957.4,1,379,97024.0,198.0,6.9257,0.0124,228.2657
7,4,112,64,128,80,-1983.2,-1912.8,2887.0,2957.4,1,377,96512.0,198.0,6.9229,0.0126,223.2645
8,4,128,64,144,80,-1912.8,-1842.4,2887.0,2957.4,1,306,78336.0,168.0,6.4015,0.0127,126.6775
50,4,800,64,816,80,1044.0,1114.4,2887.0,2957.4,1,317,81152.0,164.0,6.3494,0.0133,50.4379
51,4,816,64,832,80,1114.4,1184.8,2887.0,2957.4,1,392,100352.0,204.0,6.7834,0.0132,164.9253
52,4,832,64,848,80,1184.8,1255.2,2887.0,2957.4,1,461,118016.0,229.0,7.6002,0.0131,349.8622
53,4,848,64,864,80,1255.2,1325.6,2887.0,2957.4,1,472,120832.0,231.0,7.6374,0.0129,367.1880
54,4,864,64,880,80,1325.6,1396.0,2887.0,2957.4,1,476,121856.0,228.0,7.6510,0.0127,363.0483
55,4,880,64,896,80,1396.0,1466.4,2887.0,2957.4,1,480,122880.0,228.0,7.6647,0.0125,380.5590
56,4,896,64,912,80,1466.4,1536.8,2887.0,2957.4,1,479,122624.0,227.0,7.6613,0.0124,396.0998
