col,row,px_left,px_top,px_right,px_bottom,world_x_min,world_x_max,world_y_min,world_y_max,walkable,connectivity,isovist_area_px,isovist_perimeter,integration_hh_t,integration_hh_m,choice_t,occ_all,occ_ct,occ_t,occ_early,kills,kills_ct,kills_t,flow,visits_rounds
14,10,224,160,240,176,-2110.0,-2030.0,833.0,913.0,1,467,119552.0,254.0,10.1175,0.0158,300.2145,60.0,60.0,0.0,1.0,0.0,0.0,0.0,16,4
15,10,240,160,256,176,-2030.0,-1950.0,833.0,913.0,1,479,122624.0,261.0,10.2509,0.0161,330.2879,494.0,494.0,0.0,8.0,1.0,1.0,0.0,16,6
16,10,256,160,272,176,-1950.0,-1870.0,833.0,913.0,1,494,126464.0,263.0,10.3977,0.0164,381.3699,9.0,0.0,9.0,0.0,0.0,0.0,0.0,4,1
17,10,272,160,288,176,-1870.0,-1790.0,833.0,913.0,1,503,128768.0,259.0,10.4176,0.0167,395.5318,30.0,28.0,2.0,8.0,0.0,0.0,0.0,6,3
18,10,288,160,304,176,-1790.0,-1710.0,833.0,913.0,1,515,131840.0,267.0,10.5386,0.0169,454.0251,234.0,107.0,127.0,2.0,0.0,0.0,0.0,62,19
19,10,304,160,320,176,-1710.0,-1630.0,833.0,913.0,1,520,133120.0,310.0,10.9631,0.0172,518.3969,156.0,102.0,54.0,0.0,1.0,1.0,0.0,70,19
20,10,320,160,336,176,-1630.0,-1550.0,833.0,913.0,1,533,136448.0,314.0,11.0186,0.0174,586.7505,38.0,24.0,14.0,0.0,0.0,0.0,0.0,25,9
21,10,336,160,352,176,-1550.0,-1470.0,833.0,913.0,1,493,126208.0,285.0,10.498,0.0176,422.7445,73.0,73.0,0.0,0.0,0.0,0.0,0.0,6,2
34,10,544,160,560,176,-510.0,-430.0,833.0,913.0,1,78,19968.0,95.0,5.347,0.0181,187.1785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
35,10,560,160,576,176,-430.0,-350.0,833.0,913.0,1,99,25344.0,134.0,6.7744,0.0182,487.2238,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1
36,10,576,160,592,176,-350.0,-270.0,833.0,913.0,1,118,30208.0,134.0,6.8339,0.0181,696.9104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
