col,row,px_left,px_top,world_x_min,world_x_max,world_y_min,world_y_max,kills_total,kills_ct,kills_t,occupancy_ct,occupancy_t
0,0,0.0,0.0,-3230.0,-2910.0,1393.0,1713.0,0,0,0,0,0
1,0,64.0,0.0,-2910.0,-2590.0,1393.0,1713.0,0,0,0,0,0
2,0,128.0,0.0,-2590.0,-2270.0,1393.0,1713.0,0,0,0,0,0
3,0,192.0,0.0,-2270.0,-1950.0,1393.0,1713.0,0,0,0,0,0
4,0,256.0,0.0,-1950.0,-1630.0,1393.0,1713.0,0,0,0,0,0
5,0,320.0,0.0,-1630.0,-1310.0,1393.0,1713.0,0,0,0,0,0
6,0,384.0,0.0,-1310.0,-990.0,1393.0,1713.0,0,0,0,0,0
7,0,448.0,0.0,-990.0,-670.0,1393.0,1713.0,0,0,0,0,0
8,0,512.0,0.0,-670.0,-350.0,1393.0,1713.0,0,0,0,0,0
9,0,576.0,0.0,-350.0,-30.0,1393.0,1713.0,0,0,0,0,0
10,0,640.0,0.0,-30.0,290.0,1393.0,1713.0,0,0,0,0,0
11,0,704.0,0.0,290.0,610.0,1393.0,1713.0,0,0,0,0,0
12,0,768.0,0.0,610.0,930.0,1393.0,1713.0,0,0,0,0,0
13,0,832.0,0.0,930.0,1250.0,1393.0,1713.0,0,0,0,0,0
14,0,896.0,0.0,1250.0,1570.0,1393.0,1713.0,0,0,0,0,0
15,0,960.0,0.0,1570.0,1890.0,1393.0,1713.0,0,0,0,0,0
0,1,0.0,64.0,-3230.0,-2910.0,1073.0,1393.0,0,0,0,0,0
1,1,64.0,64.0,-2910.0,-2590.0,1073.0,1393.0,0,0,0,0,0
2,1,128.0,64.0,-2590.0,-2270.0,1073.0,1393.0,0,0,0,0,0
3,1,192.0,64.0,-2270.0,-1950.0,1073.0,1393.0,0,0,0,0,0
4,1,256.0,64.0,-1950.0,-1630.0,1073.0,1393.0,0,0,0,0,0
5,1,320.0,64.0,-1630.0,-1310.0,1073.0,1393.0,0,0,0,0,0
6,1,384.0,64.0,-1310.0,-990.0,1073.0,1393.0,0,0,0,0,0
7,1,448.0,64.0,-990.0,-670.0,1073.0,1393.0,0,0,0,0,0
8,1,512.0,64.0,-670.0,-350.0,1073.0,1393.0,0,0,0,0,0
9,1,576.0,64.0,-350.0,-30.0,1073.0,1393.0,0,0,0,0,0
10,1,640.0,64.0,-30.0,290.0,1073.0,1393.0,0,0,0,0,0
11,1,704.0,64.0,290.0,610.0,1073.0,1393.0,0,0,0,0,0
12,1,768.0,64.0,610.0,930.0,1073.0,1393.0,0,0,0,0,0
13,1,832.0,64.0,930.0,1250.0,1073.0,1393.0,0,0,0,0,0
14,1,896.0,64.0,1250.0,1570.0,1073.0,1393.0,0,0,0,0,0
15,1,960.0,64.0,1570.0,1890.0,1073.0,1393.0,0,0,0,0,0
0,2,0.0,128.0,-3230.0,-2910.0,753.0,1073.0,0,0,0,0,0
1,2,64.0,128.0,-2910.0,-2590.0,753.0,1073.0,0,0,0,0,0
2,2,128.0,128.0,-2590.0,-2270.0,753.0,1073.0,1,0,1,0,0
3,2,192.0,128.0,-2270.0,-1950.0,753.0,1073.0,0,0,0,2,0
4,2,256.0,128.0,-1950.0,-1630.0,753.0,1073.0,0,0,0,0,2
5,2,320.0,128.0,-1630.0,-1310.0,753.0,1073.0,0,0,0,0,3
6,2,384.0,128.0,-1310.0,-990.0,753.0,1073.0,0,0,0,0,0
7,2,448.0,128.0,-990.0,-670.0,753.0,1073.0,0,0,0,0,0
8,2,512.0,128.0,-670.0,-350.0,753.0,1073.0,0,0,0,0,0
9,2,576.0,128.0,-350.0,-30.0,753.0,1073.0,0,0,0,0,27
10,2,640.0,128.0,-30.0,290.0,753.0,1073.0,0,0,0,0,45
11,2,704.0,128.0,290.0,610.0,753.0,1073.0,0,0,0,0,45
12,2,768.0,128.0,610.0,930.0,753.0,1073.0,0,0,0,0,0
13,2,832.0,128.0,930.0,1250.0,753.0,1073.0,0,0,0,0,0
14,2,896.0,128.0,1250.0,1570.0,753.0,1073.0,0,0,0,0,0
15,2,960.0,128.0,1570.0,1890.0,753.0,1073.0,0,0,0,0,0
0,3,0.0,192.0,-3230.0,-2910.0,433.0,753.0,0,0,0,0,0
1,3,64.0,192.0,-2910.0,-2590.0,433.0,753.0,0,0,0,0,0
2,3,128.0,192.0,-2590.0,-2270.0,433.0,753.0,2,0,2,22,0
3,3,192.0,192.0,-2270.0,-1950.0,433.0,753.0,3,1,2,0,0
4,3,256.0,192.0,-1950.0,-1630.0,433.0,753.0,1,0,1,0,0
5,3,320.0,192.0,-1630.0,-1310.0,433.0,753.0,0,0,0,0,10
6,3,384.0,192.0,-1310.0,-990.0,433.0,753.0,0,0,0,0,18
7,3,448.0,192.0,-990.0,-670.0,433.0,753.0,0,0,0,0,31
8,3,512.0,192.0,-670.0,-350.0,433.0,753.0,0,0,0,0,55
9,3,576.0,192.0,-350.0,-30.0,433.0,753.0,1,0,1,0,66
10,3,640.0,192.0,-30.0,290.0,433.0,753.0,0,0,0,0,0
11,3,704.0,192.0,290.0,610.0,433.0,753.0,0,0,0,0,62
12,3,768.0,192.0,610.0,930.0,433.0,753.0,0,0,0,0,112
13,3,832.0,192.0,930.0,1250.0,433.0,753.0,0,0,0,0,47
14,3,896.0,192.0,1250.0,1570.0,433.0,753.0,0,0,0,0,0
15,3,960.0,192.0,1570.0,1890.0,433.0,753.0,0,0,0,0,0
0,4,0.0,256.0,-3230.0,-2910.0,113.0,433.0,0,0,0,0,0
1,4,64.0,256.0,-2910.0,-2590.0,113.0,433.0,0,0,0,4,0
2,4,128.0,256.0,-2590.0,-2270.0,113.0,433.0,0,0,0,12,0
3,4,192.0,256.0,-2270.0,-1950.0,113.0,433.0,2,1,1,20,0
4,4,256.0,256.0,-1950.0,-1630.0,113.0,433.0,0,0,0,2,0
5,4,320.0,256.0,-1630.0,-1310.0,113.0,433.0,0,0,0,17,0
6,4,384.0,256.0,-1310.0,-990.0,113.0,433.0,1,0,1,30,11
7,4,448.0,256.0,-990.0,-670.0,113.0,433.0,0,0,0,1,8
8,4,512.0,256.0,-670.0,-350.0,113.0,433.0,0,0,0,0,2
9,4,576.0,256.0,-350.0,-30.0,113.0,433.0,1,1,0,0,0
10,4,640.0,256.0,-30.0,290.0,113.0,433.0,0,0,0,0,1
11,4,704.0,256.0,290.0,610.0,113.0,433.0,0,0,0,0,66
12,4,768.0,256.0,610.0,930.0,113.0,433.0,0,0,0,0,0
13,4,832.0,256.0,930.0,1250.0,113.0,433.0,0,0,0,0,116
14,4,896.0,256.0,1250.0,1570.0,113.0,433.0,0,0,0,0,4
15,4,960.0,256.0,1570.0,1890.0,113.0,433.0,0,0,0,0,0
0,5,0.0,320.0,-3230.0,-2910.0,-207.0,113.0,0,0,0,0,0
1,5,64.0,320.0,-2910.0,-2590.0,-207.0,113.0,0,0,0,0,0
2,5,128.0,320.0,-2590.0,-2270.0,-207.0,113.0,0,0,0,1,0
3,5,192.0,320.0,-2270.0,-1950.0,-207.0,113.0,0,0,0,20,0
4,5,256.0,320.0,-1950.0,-1630.0,-207.0,113.0,0,0,0,16,0
5,5,320.0,320.0,-1630.0,-1310.0,-207.0,113.0,0,0,0,1,0
6,5,384.0,320.0,-1310.0,-990.0,-207.0,113.0,0,0,0,3,7
7,5,448.0,320.0,-990.0,-670.0,-207.0,113.0,1,0,1,0,1
8,5,512.0,320.0,-670.0,-350.0,-207.0,113.0,0,0,0,0,0
9,5,576.0,320.0,-350.0,-30.0,-207.0,113.0,0,0,0,0,0
10,5,640.0,320.0,-30.0,290.0,-207.0,113.0,0,0,0,0,37
11,5,704.0,320.0,290.0,610.0,-207.0,113.0,0,0,0,0,95
12,5,768.0,320.0,610.0,930.0,-207.0,113.0,0,0,0,0,0
13,5,832.0,320.0,930.0,1250.0,-207.0,113.0,2,0,2,0,44
14,5,896.0,320.0,1250.0,1570.0,-207.0,113.0,0,0,0,0,63
15,5,960.0,320.0,1570.0,1890.0,-207.0,113.0,0,0,0,0,0
0,6,0.0,384.0,-3230.0,-2910.0,-527.0,-207.0,0,0,0,0,0
1,6,64.0,384.0,-2910.0,-2590.0,-527.0,-207.0,0,0,0,0,0
2,6,128.0,384.0,-2590.0,-2270.0,-527.0,-207.0,1,0,1,0,0
3,6,192.0,384.0,-2270.0,-1950.0,-527.0,-207.0,0,0,0,3,0
4,6,256.0,384.0,-1950.0,-1630.0,-527.0,-207.0,0,0,0,38,0
5,6,320.0,384.0,-1630.0,-1310.0,-527.0,-207.0,0,0,0,0,0
6,6,384.0,384.0,-1310.0,-990.0,-527.0,-207.0,1,1,0,3,1
7,6,448.0,384.0,-990.0,-670.0,-527.0,-207.0,5,3,2,0,1
8,6,512.0,384.0,-670.0,-350.0,-527.0,-207.0,1,0,1,0,0
9,6,576.0,384.0,-350.0,-30.0,-527.0,-207.0,0,0,0,0,1
10,6,640.0,384.0,-30.0,290.0,-527.0,-207.0,0,0,0,0,11
11,6,704.0,384.0,290.0,610.0,-527.0,-207.0,0,0,0,0,75
12,6,768.0,384.0,610.0,930.0,-527.0,-207.0,0,0,0,0,0
13,6,832.0,384.0,930.0,1250.0,-527.0,-207.0,1,0,1,0,10
14,6,896.0,384.0,1250.0,1570.0,-527.0,-207.0,2,0,2,0,17
15,6,960.0,384.0,1570.0,1890.0,-527.0,-207.0,0,0,0,0,0
0,7,0.0,448.0,-3230.0,-2910.0,-847.0,-527.0,0,0,0,0,0
1,7,64.0,448.0,-2910.0,-2590.0,-847.0,-527.0,0,0,0,0,0
2,7,128.0,448.0,-2590.0,-2270.0,-847.0,-527.0,0,0,0,0,0
3,7,192.0,448.0,-2270.0,-1950.0,-847.0,-527.0,0,0,0,12,0
4,7,256.0,448.0,-1950.0,-1630.0,-847.0,-527.0,0,0,0,33,0
5,7,320.0,448.0,-1630.0,-1310.0,-847.0,-527.0,0,0,0,23,0
6,7,384.0,448.0,-1310.0,-990.0,-847.0,-527.0,2,0,2,65,0
7,7,448.0,448.0,-990.0,-670.0,-847.0,-527.0,1,0,1,0,0
8,7,512.0,448.0,-670.0,-350.0,-847.0,-527.0,3,1,2,0,0
9,7,576.0,448.0,-350.0,-30.0,-847.0,-527.0,1,0,1,0,3
10,7,640.0,448.0,-30.0,290.0,-847.0,-527.0,0,0,0,0,2
11,7,704.0,448.0,290.0,610.0,-847.0,-527.0,0,0,0,0,57
12,7,768.0,448.0,610.0,930.0,-847.0,-527.0,0,0,0,0,0
13,7,832.0,448.0,930.0,1250.0,-847.0,-527.0,0,0,0,0,7
14,7,896.0,448.0,1250.0,1570.0,-847.0,-527.0,0,0,0,0,13
15,7,960.0,448.0,1570.0,1890.0,-847.0,-527.0,0,0,0,0,0
0,8,0.0,512.0,-3230.0,-2910.0,-1167.0,-847.0,0,0,0,0,0
1,8,64.0,512.0,-2910.0,-2590.0,-1167.0,-847.0,0,0,0,0,0
2,8,128.0,512.0,-2590.0,-2270.0,-1167.0,-847.0,0,0,0,0,0
3,8,192.0,512.0,-2270.0,-1950.0,-1167.0,-847.0,0,0,0,0,0
4,8,256.0,512.0,-1950.0,-1630.0,-1167.0,-847.0,0,0,0,7,0
5,8,320.0,512.0,-1630.0,-1310.0,-1167.0,-847.0,0,0,0,102,0
6,8,384.0,512.0,-1310.0,-990.0,-1167.0,-847.0,2,1,1,47,0
7,8,448.0,512.0,-990.0,-670.0,-1167.0,-847.0,3,0,3,9,0
8,8,512.0,512.0,-670.0,-350.0,-1167.0,-847.0,2,0,2,2,0
9,8,576.0,512.0,-350.0,-30.0,-1167.0,-847.0,1,0,1,0,0
10,8,640.0,512.0,-30.0,290.0,-1167.0,-847.0,0,0,0,0,2
11,8,704.0,512.0,290.0,610.0,-1167.0,-847.0,0,0,0,0,4
12,8,768.0,512.0,610.0,930.0,-1167.0,-847.0,0,0,0,0,2
13,8,832.0,512.0,930.0,1250.0,-1167.0,-847.0,0,0,0,0,17
14,8,896.0,512.0,1250.0,1570.0,-1167.0,-847.0,0,0,0,0,6
15,8,960.0,512.0,1570.0,1890.0,-1167.0,-847.0,0,0,0,0,0
0,9,0.0,576.0,-3230.0,-2910.0,-1487.0,-1167.0,0,0,0,0,0
1,9,64.0,576.0,-2910.0,-2590.0,-1487.0,-1167.0,0,0,0,0,0
2,9,128.0,576.0,-2590.0,-2270.0,-1487.0,-1167.0,0,0,0,0,0
3,9,192.0,576.0,-2270.0,-1950.0,-1487.0,-1167.0,0,0,0,0,0
4,9,256.0,576.0,-1950.0,-1630.0,-1487.0,-1167.0,0,0,0,28,0
5,9,320.0,576.0,-1630.0,-1310.0,-1487.0,-1167.0,0,0,0,44,0
6,9,384.0,576.0,-1310.0,-990.0,-1487.0,-1167.0,1,0,1,29,0
7,9,448.0,576.0,-990.0,-670.0,-1487.0,-1167.0,3,1,2,4,0
8,9,512.0,576.0,-670.0,-350.0,-1487.0,-1167.0,3,2,1,33,0
9,9,576.0,576.0,-350.0,-30.0,-1487.0,-1167.0,1,0,1,0,0
10,9,640.0,576.0,-30.0,290.0,-1487.0,-1167.0,1,0,1,1,6
11,9,704.0,576.0,290.0,610.0,-1487.0,-1167.0,0,0,0,0,0
12,9,768.0,576.0,610.0,930.0,-1487.0,-1167.0,0,0,0,0,22
13,9,832.0,576.0,930.0,1250.0,-1487.0,-1167.0,0,0,0,0,17
