col,row,px_left,px_top,px_right,px_bottom,world_x_min,world_x_max,world_y_min,world_y_max,walkable,connectivity,isovist_area_px,isovist_perimeter,integration_hh_t,integration_hh_m,choice_t
14,10,224,160,240,176,-2110.0,-2030.0,833.0,913.0,1,467,119552.0,254.0,10.1175,0.0158,300.2145
15,10,240,160,256,176,-2030.0,-1950.0,833.0,913.0,1,479,122624.0,261.0,10.2509,0.0161,330.2879
16,10,256,160,272,176,-1950.0,-1870.0,833.0,913.0,1,494,126464.0,263.0,10.3977,0.0164,381.3699
17,10,272,160,288,176,-1870.0,-1790.0,833.0,913.0,1,503,128768.0,259.0,10.4176,0.0167,395.5318
18,10,288,160,304,176,-1790.0,-1710.0,833.0,913.0,1,515,131840.0,267.0,10.5386,0.0169,454.0251
19,10,304,160,320,176,-1710.0,-1630.0,833.0,913.0,1,520,133120.0,310.0,10.9631,0.0172,518.3969
20,10,320,160,336,176,-1630.0,-1550.0,833.0,913.0,1,533,136448.0,314.0,11.0186,0.0174,586.7505
21,10,336,160,352,176,-1550.0,-1470.0,833.0,913.0,1,493,126208.0,285.0,10.4980,0.0176,422.7445
34,10,544,160,560,176,-510.0,-430.0,833.0,913.0,1,78,19968.0,95.0,5.3470,0.0181,187.1785
35,10,560,160,576,176,-430.0,-350.0,833.0,913.0,1,99,25344.0,134.0,6.7744,0.0182,487.2238
36,10,576,160,592,176,-350.0,-270.0,833.0,913.0,1,118,30208.0,134.0,6.8339,0.0181,696.9104
37,10,592,160,608,176,-270.0,-190.0,833.0,913.0,1,155,39680.0,181.0,7.5130,0.0181,1552.9305
38,10,608,160,624,176,-190.0,-110.0,833.0,913.0,1,192,49152.0,187.0,7.7483,0.0180,2459.8423
39,10,624,160,640,176,-110.0,-30.0,833.0,913.0,1,223,57088.0,186.0,7.9174,0.0179,3577.6870
40,10,640,160,656,176,-30.0,50.0,833.0,913.0,1,239,61184.0,186.0,8.0283,0.0179,4170.9859
41,10,656,160,672,176,50.0,130.0,833.0,913.0,1,249,63744.0,204.0,8.2100,0.0179,4812.2230
42,10,672,160,688,176,130.0,210.0,833.0,913.0,1,262,67072.0,263.0,9.6085,0.0178,5043.2400
43,10,688,160,704,176,210.0,290.0,833.0,913.0,1,255,65280.0,261.0,9.5579,0.0176,3794.4614
44,10,704,160,720,176,290.0,370.0,833.0,913.0,1,247,63232.0,256.0,9.4912,0.0174,3156.8610
45,10,720,160,736,176,370.0,450.0,833.0,913.0,1,222,56832.0,234.0,8.1607,0.0172,2058.5514
46,10,736,160,752,176,450.0,530.0,833.0,913.0,1,201,51456.0,205.0,7.9754,0.0170,1490.2264
47,10,752,160,768,176,530.0,610.0,833.0,913.0,1,172,44032.0,177.0,7.5758,0.0168,1135.9945
48,10,768,160,784,176,610.0,690.0,833.0,913.0,1,121,30976.0,126.0,6.1436,0.0165,187.5228
10,11,160,176,176,192,-2430.0,-2350.0,753.0,833.0,1,438,112128.0,256.0,10.9192,0.0149,351.5984
11,11,176,176,192,192,-2350.0,-2270.0,753.0,833.0,1,449,114944.0,244.0,9.7200,0.0152,255.0074
12,11,192,176,208,192,-2270.0,-2190.0,753.0,833.0,1,456,116736.0,241.0,9.7899,0.0155,269.2418
13,11,208,176,224,192,-2190.0,-2110.0,753.0,833.0,1,464,118784.0,245.0,9.8788,0.0158,273.6851
14,11,224,176,240,192,-2110.0,-2030.0,753.0,833.0,1,474,121344.0,252.0,9.9784,0.0162,295.4790
15,11,240,176,256,192,-2030.0,-1950.0,753.0,833.0,1,483,123648.0,263.0,10.2896,0.0165,340.9929
16,11,256,176,272,192,-1950.0,-1870.0,753.0,833.0,1,496,126976.0,266.0,10.4176,0.0168,383.8625
17,11,272,176,288,192,-1870.0,-1790.0,753.0,833.0,1,506,129536.0,262.0,10.5081,0.0171,413.1828
18,11,288,176,304,192,-1790.0,-1710.0,753.0,833.0,1,518,132608.0,262.0,10.5796,0.0174,449.0356
19,11,304,176,320,192,-1710.0,-1630.0,753.0,833.0,1,523,133888.0,283.0,11.0522,0.0176,494.0470
20,11,320,176,336,192,-1630.0,-1550.0,753.0,833.0,1,543,139008.0,318.0,11.2231,0.0179,620.9522
21,11,336,176,352,192,-1550.0,-1470.0,753.0,833.0,1,525,134400.0,306.0,10.9301,0.0181,515.1114
22,11,352,176,368,192,-1470.0,-1390.0,753.0,833.0,1,507,129792.0,264.0,10.6313,0.0183,468.7691
23,11,368,176,384,192,-1390.0,-1310.0,753.0,833.0,1,506,129536.0,250.0,10.5183,0.0185,477.0989
24,11,384,176,400,192,-1310.0,-1230.0,753.0,833.0,1,516,132096.0,272.0,10.5488,0.0187,522.5605
25,11,400,176,416,192,-1230.0,-1150.0,753.0,833.0,1,517,132352.0,262.0,10.5488,0.0188,536.7989
26,11,416,176,432,192,-1150.0,-1070.0,753.0,833.0,1,521,133376.0,257.0,10.5488,0.0189,589.9847
27,11,432,176,448,192,-1070.0,-990.0,753.0,833.0,1,521,133376.0,277.0,10.5488,0.0189,635.5743
34,11,544,176,560,192,-510.0,-430.0,753.0,833.0,1,65,16640.0,82.0,5.2566,0.0186,72.3155
35,11,560,176,576,192,-430.0,-350.0,753.0,833.0,1,97,24832.0,118.0,6.6421,0.0186,204.5515
36,11,576,176,592,192,-350.0,-270.0,753.0,833.0,1,147,37632.0,168.0,7.3706,0.0185,396.5231
37,11,592,176,608,192,-270.0,-190.0,753.0,833.0,1,185,47360.0,171.0,7.5863,0.0184,595.8074
38,11,608,176,624,192,-190.0,-110.0,753.0,833.0,1,205,52480.0,176.0,7.6990,0.0183,916.7615
39,11,624,176,640,192,-110.0,-30.0,753.0,833.0,1,222,56832.0,187.0,7.8207,0.0182,1604.4894
40,11,640,176,656,192,-30.0,50.0,753.0,833.0,1,217,55552.0,188.0,7.8376,0.0182,2919.1008
41,11,656,176,672,192,50.0,130.0,753.0,833.0,1,142,36352.0,174.0,7.2576,0.0182,1384.3647
42,11,672,176,688,192,130.0,210.0,753.0,833.0,1,143,36608.0,159.0,7.5338,0.0181,373.8347
43,11,688,176,704,192,210.0,290.0,753.0,833.0,1,189,48384.0,168.0,7.9988,0.0180,663.4803
44,11,704,176,720,192,290.0,370.0,753.0,833.0,1,199,50944.0,161.0,8.0224,0.0178,634.2127
45,11,720,176,736,192,370.0,450.0,753.0,833.0,1,198,50688.0,158.0,6.5938,0.0176,572.6943
46,11,736,176,752,192,450.0,530.0,753.0,833.0,1,193,49408.0,158.0,6.6058,0.0174,584.0490
47,11,752,176,768,192,530.0,610.0,753.0,833.0,1,171,43776.0,157.0,6.5423,0.0171,430.2329
48,11,768,176,784,192,610.0,690.0,753.0,833.0,1,154,39424.0,159.0,6.4993,0.0168,421.4470
10,12,160,192,176,208,-2430.0,-2350.0,673.0,753.0,1,447,114432.0,265.0,11.0973,0.0151,484.3999
11,12,176,192,192,208,-2350.0,-2270.0,673.0,753.0,1,457,116992.0,271.0,11.2115,0.0155,511.4640
12,12,192,192,208,208,-2270.0,-2190.0,673.0,753.0,1,463,118528.0,260.0,11.1427,0.0158,397.8319
13,12,208,192,224,208,-2190.0,-2110.0,673.0,753.0,1,464,118784.0,249.0,9.8609,0.0162,280.9838
14,12,224,192,240,208,-2110.0,-2030.0,673.0,753.0,1,474,121344.0,253.0,9.9601,0.0165,310.8372
15,12,240,192,256,208,-2030.0,-1950.0,673.0,753.0,1,489,125184.0,267.0,10.3483,0.0168,362.8766
