map,decile,lines,integration_mean,crossfire_per_m_mean,crossfire_per_m_se,crossfire_sum
de_dust2,1,16,0.3134,5.8024,2.4763,148
de_dust2,2,16,0.3705,16.0281,2.8451,210
de_dust2,3,16,0.3924,8.5983,2.7614,188
de_dust2,4,16,0.4035,1.5474,0.6498,17
de_dust2,5,16,0.4224,8.5858,5.0682,254
de_dust2,6,16,0.4365,6.3744,2.4511,49
de_dust2,7,15,0.4548,6.4922,2.5129,82
de_dust2,8,15,0.4741,5.1706,2.7915,102
de_dust2,9,15,0.5082,6.9542,1.653,156
de_dust2,10,15,0.569,16.7867,3.9498,324
de_mirage,1,18,0.3276,2.8669,1.6974,18
de_mirage,2,18,0.3662,5.1473,1.4685,39
de_mirage,3,18,0.4008,13.9852,5.0335,142
de_mirage,4,18,0.4201,11.1821,2.7999,164
de_mirage,5,18,0.4386,21.8603,8.023,144
de_mirage,6,18,0.4531,8.1314,2.094,136
de_mirage,7,18,0.4723,12.8844,4.991,192
de_mirage,8,18,0.4951,13.653,5.31,190
de_mirage,9,17,0.5311,16.6241,4.5177,252
de_mirage,10,17,0.5842,17.4331,3.9295,445
