ref,x1,y1,x2,y2,choice,choice_norm,connectivity,control,controllability,entropy,harmonic_mean_depth,integration_hh,integration_p_value,integration_tekl,intensity,line_length,mean_depth,node_count,ra,ra_penn,rra,relativised_entropy,total_depth,crossfire,crossfire_per_m,length_m
0,509.2,453.6,686.8,462.4,2586,0.16602466,3,1.1666666,0.5,3.8292208,7.3629274,0.5741474,0.11130943,0.61095381,0.44783264,177.81789,9.6045198,178,0.097778633,0.43508902,1.7417129,3.4442284,1700,164.0,48.41427307744139,3.3874308045
1,401.07,616.27,434.0,626.0,1044,0.06702619,3,1.0833334,0.42857143,4.4578319,4.8950992,0.42509797,0.082413353,0.58688354,0.38594067,34.33741,12.621469,178,0.13206215,0.49829268,2.3523989,4.3778772,2234,8.0,12.230028606166853,0.6541276605
2,718.0,662.0,774.67,662.67,1379,0.08853364,2,1.0,0.5,4.4144163,5.3227468,0.37625927,0.072945036,0.57764298,0.3382549,56.673962,14.129944,178,0.1492039,0.41134751,2.6577418,4.399406,2501,9.0,8.336119943085853,1.0796389761
3,410.67,518.67,413.6,497.2,4143,0.26598614,4,1.2833333,0.40000001,4.3046041,5.4108248,0.51956421,0.10072743,0.60273772,0.45554075,21.669006,10.508474,178,0.10805085,0.53776437,1.92469,4.0398674,1860,10.0,24.225125195041237,0.4127945643
4,801.2,573.6,886.8,566.4,1249,0.08018747,2,0.83333331,0.40000001,4.409656,4.2373056,0.36541018,0.07084173,0.57547075,0.3281433,85.902267,14.519774,178,0.15363379,0.41634145,2.7366507,4.4806266,2570,5.0,3.055416355904203,1.63643818635
5,309.2,189.6,418.0,194.0,1526,0.097971238,2,0.83333331,0.40000001,4.3644485,5.6602387,0.45236757,0.087700084,0.59170586,0.4021076,108.88893,11.920904,178,0.12410118,0.46910191,2.2105918,4.2056303,2110,19.0,9.159565881343397,2.0743341165
6,426.0,238.0,447.73,246.13,1964,0.12609142,3,1.1666666,0.5,4.181221,5.9235449,0.51497442,0.099837616,0.60201865,0.43857238,23.201073,10.593221,178,0.10901387,0.4900901,1.9418441,3.830369,1875,1.0,2.2625435608176385,0.44198044065000003
7,418.0,194.0,426.0,238.0,1713,0.10997689,2,0.83333331,0.40000001,4.278861,5.6830935,0.47940052,0.092940934,0.59627962,0.41779336,44.721359,11.305085,178,0.11710323,0.4767642,2.0859385,3.9686701,2001,7.0,8.216522853016828,0.85194188895
8,886.0,262.0,892.0,562.29,3421,0.21963277,3,1.1666666,0.5,4.3919048,4.9287624,0.38967314,0.075545572,0.5802654,0.3485328,300.34995,13.677966,178,0.14406779,0.43161094,2.5662534,4.3226786,2421,24.0,4.194582085613929,5.7216665475
9,713.2,797.2,742.8,794.4,2923,0.1876605,4,1.25,0.44444445,4.524435,5.7959452,0.35984629,0.069763072,0.57433808,0.33155596,29.732138,14.728813,178,0.15600924,0.40731707,2.7789643,4.9727807,2607,2.0,3.5310907221142305,0.5663972289
10,462.4,369.2,470.8,452.2,6987,0.44857472,5,1.45,0.45454547,3.9381933,6.8898368,0.61320233,0.11888097,0.61648983,0.4919287,83.423981,9.0564976,178,0.091551103,0.52703148,1.6307831,3.4720967,1603,35.0,22.02328777869458,1.58922683805
11,837.71,746.29,838.0,630.0,1642,0.10541859,2,0.83333331,0.40000001,4.5348654,4.5002847,0.32362196,0.062740289,0.56662613,0.2988545,116.29036,16.265537,178,0.173472,0.38604861,3.0900252,5.0982962,2879,1.0,0.4513997404446075,2.2153313580000003
12,785.2,794.4,830.0,794.0,307,0.019709811,3,0.91666669,0.375,4.5437579,5.1587977,0.3143158,0.060936112,0.56454152,0.29082665,44.801785,16.717514,178,0.17860812,0.34556574,3.1815138,5.3737988,2959,0.0,0.0,0.8534740042500001
