connectivity,integration_hh_t
477.0,7.9559
225.0,5.5779
501.0,7.3215
502.0,7.6171
521.0,8.6493
571.0,9.907
499.0,7.3121
472.0,8.2345
642.0,11.9727
432.0,9.4076
224.0,7.4292
295.0,6.0796
442.0,8.3547
716.0,11.6084
462.0,9.2108
488.0,7.5801
454.0,8.371
412.0,7.5969
248.0,5.4401
365.0,7.4843
419.0,7.4615
436.0,8.8499
344.0,9.1178
483.0,7.6887
549.0,7.4745
424.0,8.7731
495.0,9.196
359.0,6.8703
504.0,9.4231
341.0,9.0173
630.0,9.0937
349.0,7.6991
309.0,8.9328
576.0,10.2257
377.0,5.5979
471.0,7.7617
185.0,6.8266
515.0,7.5834
516.0,9.0985
403.0,6.8648
390.0,6.1034
377.0,6.8621
457.0,8.3832
458.0,9.0315
314.0,6.5933
151.0,6.4886
358.0,7.5701
456.0,9.0745
518.0,8.563
420.0,8.1601
622.0,10.4752
466.0,7.6171
307.0,5.9759
483.0,8.2148
527.0,8.5588
553.0,8.8363
370.0,5.9926
380.0,5.6107
468.0,7.9083
501.0,7.3246
368.0,7.3028
512.0,7.7793
258.0,8.4368
520.0,8.5375
555.0,9.2256
501.0,7.6205
339.0,6.4159
501.0,7.3184
390.0,6.7621
425.0,9.9877
300.0,6.0969
651.0,10.5395
268.0,8.7865
559.0,9.8672
388.0,8.3385
360.0,7.9707
233.0,5.7115
425.0,6.8077
575.0,10.2869
451.0,8.3344
565.0,9.7996
546.0,7.4647
220.0,7.1388
378.0,7.5767
432.0,7.6956
546.0,9.744
596.0,9.0601
626.0,9.1227
240.0,6.5505
440.0,8.4327
365.0,7.9855
521.0,8.2148
284.0,6.2251
607.0,9.2655
342.0,9.4699
543.0,7.4485
496.0,7.6887
271.0,7.9633
431.0,7.124
395.0,6.0883
542.0,8.7374
644.0,11.2657
181.0,6.5132
286.0,5.773
483.0,8.4327
377.0,9.3973
539.0,9.4908
282.0,5.48
509.0,8.2305
344.0,9.4803
291.0,6.9007
113.0,5.6888
499.0,8.2384
513.0,8.5502
466.0,7.5734
439.0,7.0192
505.0,8.4079
487.0,8.2942
471.0,7.6991
583.0,8.9889
374.0,7.0567
228.0,6.4666
506.0,9.4335
556.0,9.8672
538.0,7.4389
522.0,9.2755
525.0,8.4785
564.0,8.3425
454.0,7.1477
297.0,5.1466
373.0,6.5306
275.0,8.8682
292.0,8.7507
525.0,9.5862
396.0,7.5501
347.0,6.5655
438.0,7.0163
538.0,7.4292
496.0,7.7198
602.0,11.5849
449.0,7.1388
331.0,9.5066
475.0,8.0191
253.0,7.5105
522.0,9.6781
490.0,8.2305
396.0,6.6495
426.0,7.5302
446.0,8.7285
530.0,9.9703
333.0,8.593
439.0,8.6843
264.0,6.8731
442.0,7.7687
374.0,6.5157
559.0,7.7233
507.0,7.6408
272.0,8.2148
390.0,6.725
710.0,11.8898
283.0,5.9122
402.0,7.0249
278.0,9.0125
279.0,8.2424
432.0,8.7463
493.0,8.4743
436.0,6.9849
476.0,8.0567
574.0,8.8866
444.0,7.2047
640.0,9.1421
284.0,5.9142
427.0,7.6137
465.0,8.2622
635.0,9.2805
503.0,7.6238
324.0,8.9937
547.0,7.4615
155.0,5.8637
363.0,9.7219
552.0,7.6991
376.0,7.0654
152.0,6.2569
506.0,7.3277
454.0,7.1211
593.0,8.8408
424.0,7.375
614.0,9.0697
490.0,9.0315
387.0,8.4618
190.0,5.2138
419.0,6.8077
221.0,7.278
364.0,9.4961
561.0,10.2196
582.0,9.0506
588.0,10.0579
568.0,7.7793
327.0,8.8363
508.0,8.3955
526.0,9.2455
369.0,9.6023
492.0,8.2503
470.0,8.0004
383.0,8.0681
539.0,8.7108
214.0,5.3204
345.0,6.5555
225.0,5.3237
536.0,8.5973
378.0,7.0741
469.0,7.1927
401.0,8.6319
430.0,8.2148
631.0,10.4561
436.0,8.2982
563.0,9.2356
553.0,9.8445
392.0,6.9707
436.0,8.3547
385.0,9.4386
514.0,7.3528
492.0,9.0937
435.0,7.0077
296.0,5.6144
176.0,6.5083
378.0,8.1254
542.0,7.4518
422.0,7.08
217.0,6.5907
436.0,8.4995
290.0,6.0861
235.0,6.9285
403.0,7.2199
163.0,6.167
530.0,7.41
556.0,10.1411
431.0,8.5205
449.0,8.6406
590.0,9.0889
399.0,7.2626
659.0,12.1164
412.0,6.2206
473.0,9.7274
512.0,8.4952
570.0,9.9242
285.0,8.4827
398.0,7.5039
500.0,8.4244
460.0,7.4908
382.0,6.9369
541.0,7.4453
184.0,7.4292
577.0,9.1275
100.0,5.0026
381.0,6.2049
195.0,6.6392
502.0,7.6306
546.0,9.794
496.0,7.9781
523.0,9.1178
457.0,7.5868
378.0,7.0712
463.0,8.2622
566.0,7.7793
352.0,8.6537
589.0,8.9561
504.0,9.4231
456.0,7.7582
381.0,6.6469
503.0,9.5595
260.0,5.6163
384.0,7.356
576.0,10.0462
374.0,7.4908
498.0,8.5673
421.0,8.2942
502.0,9.5013
174.0,7.2382
464.0,8.2582
207.0,7.468
302.0,7.4453
422.0,6.5034
424.0,7.9339
520.0,9.2805
511.0,7.7863
572.0,11.3777
364.0,6.9792
433.0,7.6681
372.0,7.0567
403.0,6.1078
434.0,7.7407
599.0,9.8276
316.0,7.3718
249.0,9.0506
298.0,8.8227
287.0,8.6755
500.0,8.4079
474.0,7.2078
225.0,5.6644
557.0,10.6573
204.0,5.5064
602.0,9.0125
490.0,8.3997
490.0,8.2424
433.0,7.0596
465.0,8.4161
550.0,7.4777
263.0,4.9707
402.0,6.1034
290.0,8.8272
300.0,8.8866
384.0,6.9877
248.0,6.5882
566.0,9.7606
510.0,7.3121
207.0,8.2305
408.0,8.2821
252.0,6.6727
317.0,6.3494
438.0,8.4038
575.0,9.2755
519.0,7.5801
379.0,7.1093
534.0,7.4228
501.0,7.7512
504.0,8.5037
208.0,7.5801
331.0,5.7268
555.0,9.5171
504.0,7.6374
448.0,7.7758
375.0,7.0163
230.0,6.538
305.0,6.9118
303.0,5.6813
450.0,7.1034
535.0,7.426
492.0,7.278
577.0,9.7054
448.0,7.2169
349.0,6.8131
389.0,8.2861
490.0,9.1911
403.0,6.2004
390.0,5.9614
233.0,7.3845
333.0,6.167
535.0,7.426
451.0,7.0946
507.0,7.6408
502.0,9.6835
387.0,6.9651
603.0,9.1275
485.0,8.441
435.0,7.8468
430.0,8.3304
389.0,7.1716
205.0,7.4518
549.0,9.3462
336.0,9.0841
486.0,9.4231
342.0,6.7647
525.0,7.3972
352.0,7.2382
642.0,11.2435
300.0,6.2867
392.0,6.9651
618.0,10.2931
406.0,7.7268
306.0,6.4015
545.0,7.4615
490.0,7.278
476.0,8.4244
545.0,9.5119
344.0,7.278
422.0,7.6887
559.0,8.9143
365.0,9.7606
379.0,9.4751
