connectivity,integration_hh_t
327.0,8.9014
447.0,11.1427
427.0,10.715
516.0,12.0692
275.0,7.0783
361.0,10.4376
163.0,7.7539
301.0,9.6768
460.0,10.2605
412.0,10.6729
255.0,6.8727
332.0,10.0336
457.0,11.2115
529.0,11.9762
449.0,10.5796
368.0,9.2336
542.0,10.7893
457.0,10.4476
468.0,11.0298
552.0,11.8588
403.0,10.5386
450.0,10.8864
380.0,10.6416
542.0,11.1655
497.0,11.6184
471.0,11.4473
382.0,9.3046
377.0,10.4476
398.0,9.4092
370.0,10.1647
187.0,7.8602
241.0,8.9379
308.0,9.6255
366.0,9.3526
360.0,8.8941
305.0,9.634
261.0,6.9208
198.0,8.7441
524.0,11.9631
453.0,11.2463
398.0,9.4829
160.0,6.4302
131.0,5.7692
114.0,7.106
446.0,10.3091
144.0,7.106
536.0,12.0292
360.0,10.4077
145.0,6.9785
282.0,7.1715
401.0,9.9057
533.0,11.0186
555.0,12.1229
485.0,10.2799
137.0,5.4215
433.0,9.7027
460.0,11.0186
351.0,10.1081
177.0,7.6719
447.0,11.1427
268.0,9.6768
430.0,10.1458
277.0,9.1406
119.0,5.3208
321.0,7.3856
342.0,8.088
215.0,8.0461
450.0,10.9521
310.0,9.9238
506.0,11.2579
570.0,12.6586
439.0,9.7724
163.0,6.4839
395.0,9.7811
480.0,11.5813
416.0,10.8
332.0,7.9347
155.0,6.5188
131.0,6.2137
432.0,9.9057
548.0,12.3289
292.0,8.572
417.0,9.5747
460.0,10.9192
585.0,12.6733
421.0,10.9411
307.0,7.56
128.0,6.2422
450.0,10.9631
415.0,9.5831
349.0,10.4376
522.0,10.6625
310.0,8.7511
453.0,10.2028
345.0,9.8164
456.0,10.4276
326.0,9.4582
591.0,12.6292
124.0,5.7237
362.0,8.9526
92.0,5.1399
163.0,6.434
482.0,10.6729
135.0,5.9069
444.0,10.7044
493.0,11.7564
457.0,11.1313
401.0,9.0344
280.0,9.1714
483.0,11.2347
178.0,6.5938
626.0,13.5235
192.0,6.974
543.0,12.4701
568.0,12.6146
443.0,10.2799
456.0,10.4276
143.0,6.2638
463.0,11.1427
588.0,12.4844
402.0,10.6939
397.0,10.1081
399.0,9.4255
112.0,5.6818
458.0,10.9521
549.0,12.4987
379.0,9.9784
513.0,11.8588
436.0,10.7255
401.0,9.4829
184.0,6.934
374.0,9.7724
371.0,9.3687
351.0,10.1458
146.0,6.4227
540.0,10.7893
540.0,10.9853
448.0,10.3385
460.0,10.5591
461.0,10.498
495.0,11.1655
442.0,10.2896
563.0,11.0075
306.0,9.6854
147.0,7.3706
463.0,10.9631
430.0,9.634
554.0,11.8847
422.0,9.951
390.0,8.8364
455.0,11.0298
425.0,10.3581
512.0,11.293
356.0,9.1252
302.0,7.2673
432.0,9.9057
364.0,8.5117
427.0,8.9526
438.0,9.5328
416.0,9.8967
378.0,8.9674
193.0,7.3458
430.0,8.9748
544.0,12.2871
94.0,6.6788
291.0,9.5244
380.0,10.5386
104.0,5.2113
130.0,6.9384
426.0,8.96
128.0,5.76
538.0,12.3991
419.0,10.0151
137.0,5.4296
501.0,10.4576
303.0,9.6511
210.0,6.6502
250.0,8.2912
431.0,10.1837
520.0,10.6416
529.0,12.0692
427.0,9.9148
278.0,7.106
449.0,10.9742
322.0,7.8716
132.0,5.4351
534.0,11.6308
359.0,10.4476
514.0,12.0692
150.0,6.9919
307.0,9.6854
358.0,8.4851
561.0,12.4558
